"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Well_Tag_ID","Field_Collection_Type","Field_Collector","Field_Collection_Date","Field_Collection_Time","Field_Collection_Date_Time","Field_Collection_Date_Accuracy","Field_Collection_Comment","Well_Water_Level_Measuring_Point_or_TOC_ID","Sample_Source","Water_Level_Parameter_Name","Water_Level_Value","Water_Level_Value_Units","Water_Level_Qualifier","Water_Level_Qualifier_Description","Water_Level_Accuracy","Water_Level_Method","Water_Level_Method_Description","Water_Level_Comment","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Calculated_Well_Water_Level_Measuring_Point_or_TOC_Elevation_NAVD88_FT","Well_Water_Level_Measuring_Point_or_TOC_Height","Well_Water_Level_Measuring_Point_or_TOC_Height_Units","Calculated_Water_Level_Elevation_NAVD88_FT","Calculated_Water_Level_Elevation_Accuracy_FT","Calculated_Water_Level_Depth_Below_Land_Surface_FT","Study_ID_Alias","EIM_Data_Entry_Review_Status","Result_Suspect_Or_Rejected_Flag","Result_Suspect_Code","Result_Suspect_Description","Record_Created_On","Result_System_ID"
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_VW-02","VW-02","VCCE0442 MONITORING WELL VW-02","","Measurement","Consultant, Professional","04/27/2016",12:13:00,"04/27/2016 12:13:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","19.42","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2557100009423,-119.90206,,805.53,,"",786.11,"",,"","Reviewed","","","",6/16/2016 1:51:37 PM,204243291
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_KMW_15","KMW_15","FS469_KMW_15","","Measurement","Consultant, Professional","05/08/2017",,"05/08/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.56","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5847055555556,-120.538836111111,,1083.54,,"",1072.98,"",,"","Not Reviewed","","","",7/5/2017 3:57:24 PM,206348907
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_KMW_14","KMW_14","FS469_KMW_14","","Measurement","Consultant, Professional","07/25/2016",,"07/25/2016","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","11.86","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5844472222222,-120.538738888889,,1082.4,,"",1070.54,"",,"","Not Reviewed","","","",9/2/2016 12:16:32 PM,204756846
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_KMW_7","KMW_7","FS469_KMW_7","","Measurement","Consultant, Professional","05/09/2016",,"05/09/2016","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","12.69","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.58505,-120.540583333333,,1091.96,,"",1079.27,"",,"","Not Reviewed","","","",5/31/2016 12:36:23 PM,204041484
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_RW-05","RW-05","VCCE0442 MONITORING WELL RW-05","","Measurement","Consultant, Professional","02/13/2017",,"02/13/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","18.74","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2556200009423,-119.90205,,812.4,,"",793.66,"",,"","Reviewed","","","",3/30/2017 2:40:08 PM,205911366
"VCCE0304","Jackpot 075, Yakima, WA","VCCE0304-MW01","MW01","VCCE0304_MW01","","Measurement","Consultant, Professional","03/16/2016",,"03/16/2016","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","16.97","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.6086220009417,-120.530638,1098.81,1097.5,,"",1080.53,"+/- 10 ft (3 m)",,"","Not Reviewed","","","",4/29/2016 1:30:44 PM,203883519
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_MW-10","MW-10","FS469_MW-10","","Measurement","Consultant, Professional","07/25/2016",,"07/25/2016","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","11.6","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5851226109535,-120.540755536279,,1092.11,,"",1080.51,"",,"","Not Reviewed","","","",9/2/2016 12:16:32 PM,204756852
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_RW-04","RW-04","VCCE0442 MONITORING WELL RW-04","","Measurement","Consultant, Professional","05/16/2017",11:25:00,"05/16/2017 11:25:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","19.69","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2558500009423,-119.90147,,812.33,,"",792.64,"",,"","Reviewed","","","",7/10/2017 12:12:00 PM,206363761
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_RW-04","RW-04","VCCE0442 MONITORING WELL RW-04","","Measurement","Consultant, Professional","04/27/2016",10:50:00,"04/27/2016 10:50:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","21.49","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2558500009423,-119.90147,,812.33,,"",790.84,"",,"","Reviewed","","","",6/16/2016 1:51:37 PM,204243288
"MRED0005","Lower Yakima Valley Groundwater Management Area Ambient Groundwater Monitoring Network","BKB754","LYV-MW-009","LYV-MW-009","BKB754","MEASUREMENT","WA Dept of Ecology","01/19/2022",14:13:00,"01/19/2022 14:13:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","6.96","ft","","","Water level accurate to +/- 0.01ft","DEPTH","Depth by measuring stick or tape","",46.3608532749233,-120.178468053788,762.89,762.89,,"",755.93,"",,"","Not Reviewed","","","",4/29/2022 1:04:34 PM,215238367
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_MW-06","MW-06","VCCE0442 MONITORING WELL MW-06","","Measurement","Consultant, Professional","08/16/2016",11:05:00,"08/16/2016 11:05:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","18.12","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2556600009423,-119.90205,,805.25,,"",787.13,"",,"","Reviewed","","","",10/14/2016 11:10:27 AM,204897395
"VCCE0304","Jackpot 075, Yakima, WA","VCCE0304-MW06","MW06","VCCE0304_MW06","","Measurement","Consultant, Professional","06/21/2016",,"06/21/2016","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","12.00","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.608686,-120.530583,,1097.5,,"",1085.5,"",,"","Not Reviewed","","","",9/15/2016 8:49:20 AM,204789891
"VCCE0304","Jackpot 075, Yakima, WA","VCCE0304-MW03","MW03","VCCE0304_MW03","","Measurement","Consultant, Professional","03/16/2016",,"03/16/2016","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","16.70","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.608738,-120.53085,,1098.5,,"",1081.8,"",,"","Not Reviewed","","","",4/29/2016 1:30:45 PM,203883521
